mensaje,numero
"¿Me hacés una carga, en la SUBE?",5491133963178
Necesito cargar la SUBE,5491133963178
Meté saldo en la SUBE,5491133963178
Necesito que pongas crédito en la SUBE,5491133963178
Me hacés una recarga en la SUBE,5491133963178
Poner saldo en la SUBE,5491133963178
Cargá algo de saldo en la SUBE,5491133963178
Recargame la SUBE cuando puedas,5491133963178
Sumá saldo a la SUBE,5491133963178
"Cargá saldo a la SUBE, porfa",5491133963178
Agregá crédito a la SUBE,5491133963178
¿Podrías cargarme la SUBE?,5491133963178
Hacé una carga para la SUBE,5491133963178